Source,Compare,Value
2023,16487,0.8013752
2032,19329,0.8713203000000002
2038,1174,0.81834954
2038,11057,0.8072775
2038,21077,0.8301908000000001
2038,21474,0.80218893
2049,4895,0.82770395
2050,20318,0.8503961999999999
2054,15457,0.86159384
2055,15302,0.8013149
2057,13036,0.814138
2058,11269,0.8149229
2058,19470,0.81316304
2059,13886,0.8433391
2059,15090,0.8128593000000001
2061,650,0.8136985999999999
2061,791,0.8000278000000001
2061,3514,0.80770326
2061,4166,0.8178438
2061,4273,0.81674266
2061,4279,0.83030313
2061,5259,0.8160743
2061,7124,0.8347626
2061,9034,0.8017
2061,11457,0.8391058000000001
2061,15781,0.81312025
2061,18695,0.8001874
2061,19604,0.8024175
2078,10127,0.81068456
2078,13280,0.81068456
2078,15814,0.85483676
2086,13664,0.8182943
2086,17669,0.85262775
2086,18198,0.80309546
2099,16487,0.81311333
2099,17886,0.8390386000000001
2124,12884,0.8317643
2127,17250,0.8130771999999999
2131,19651,0.81115836
2144,7210,0.8020343000000001
2144,8616,0.8020343000000001
2145,1575,0.80678815
2145,1919,0.81002843
2145,3386,0.8221333000000001
2145,4166,0.8436914000000001
2145,5025,0.8129897
2145,6220,0.87319154
2145,6552,0.83949894
2145,6949,0.8082999
2145,10271,0.83088696
2145,10429,0.80562377
2145,10658,0.80449003
2145,11229,0.8087528
2145,12568,0.8245457
2145,14806,0.8035899999999999
2145,15976,0.8223238000000002
2145,16953,0.817409
2145,18815,0.8090991
2145,20324,0.80094707
2145,20649,0.8004717
2145,20708,0.82699066
2156,2798,0.8184673000000001
2156,3210,0.8035744
2160,16487,0.84383214
2172,1945,0.8301728
2176,2126,0.82696295
2176,8957,0.8000499
2191,13185,0.80558157
2191,15492,0.8438507
2194,6693,0.8072007
2194,14048,0.8051071
2194,15638,0.8082939
2194,16863,0.82219636
2194,17358,0.8315228000000001
2194,18332,0.84256196
2194,18374,0.8090965999999999
2194,18922,0.808719
2213,21077,0.80022484
2214,13495,0.8315846
2215,13331,0.80007863
2218,1034,0.8199440999999998
2218,14819,0.8237494000000001
2224,381,0.8199734000000001
2231,13981,0.8043866
2237,9121,0.8078165
2237,9567,0.8141114
2237,9868,0.80082476
2237,10430,0.8037802
2239,12007,0.81463826
2239,12024,0.8074326999999999
2239,12082,0.81573814
2239,12271,0.8029328
2239,12309,0.80115837
2239,12694,0.81339145
2242,2608,0.8058211
2242,14698,0.83218086
2242,18551,0.82076204
2245,14454,0.8079746
2258,14278,0.8035073
2267,14370,0.80096614
2267,15918,0.81361985
2268,5216,0.82081664
2268,19670,0.82377136
2283,16906,0.86469185
